Bt,ip,ne_nG,n=1 amplitude,Mir_avg_amp,Mir_avg_fre,v_loop,dx_a,dy_a,sxr_mean,xuv_ratio
2.3340163,450335.75,5.607455,918.18164,0.0,0.0,0.41926384,19.945698,-7.3486404,0.25096542,1.3251439
2.323496,450315.7,5.6033077,932.79346,0.0,0.0,0.4144609,19.879578,-7.3134217,0.24973747,1.3237243
2.3243737,450261.12,5.603384,942.1509,0.0,0.0,0.40284553,19.874489,-7.3301873,0.24824029,1.315918
2.329589,450449.47,5.602791,897.09436,0.0,0.0,0.4023689,19.845417,-7.370641,0.2490215,1.3113807
2.3333936,450223.72,5.6001863,924.10236,0.0,0.0,0.39295575,19.789913,-7.333675,0.24763912,1.3158585
2.3323143,450161.03,5.59497,927.3303,0.0,0.0,0.3904892,19.783466,-7.3463283,0.2470483,1.3236376
2.3133276,450176.4,5.592911,946.3229,0.0,0.0,0.39236715,19.746943,-7.3441,0.2443387,1.321027
2.310737,450401.53,5.594387,929.39075,0.0,0.0,0.39944354,19.811497,-7.3309655,0.24464989,1.3183002
2.3166614,450432.03,5.5985966,918.0308,0.0,0.0,0.42335513,19.881027,-7.331216,0.2455254,1.3265134
2.32207,450372.12,5.599416,931.80273,0.0,0.0,0.44373137,19.875444,-7.3371654,0.2435669,1.3185239
2.3291538,450226.22,5.5986104,926.21014,0.0,0.0,0.4662734,19.779413,-7.348598,0.24272066,1.3153406
2.3316145,450438.28,5.5987997,930.6082,0.0,0.0,0.46590263,19.829823,-7.35476,0.24484801,1.3099277
2.324752,450543.06,5.5970426,931.9804,0.0,0.0,0.44156122,19.81222,-7.354136,0.245137,1.3258957
2.3239207,450421.94,5.599074,937.8964,0.0,0.0,0.4363469,19.712849,-7.3409123,0.24418366,1.3224045
2.3151493,450591.22,5.6029296,937.25275,0.0,0.0,0.43342045,19.836504,-7.349287,0.24390344,1.3163098
2.318229,450400.2,5.6070833,911.3148,0.0,0.0,0.42061752,19.9044,-7.3159423,0.24386427,1.3113089
2.3310792,450231.06,5.610213,916.2523,0.0,0.0,0.42937493,19.85141,-7.319766,0.24371894,1.3088764
2.3386416,450212.78,5.609963,911.7031,0.0,0.0,0.4320699,19.782263,-7.3238635,0.24212302,1.3051089
2.3358512,450166.28,5.6138787,941.6746,0.0,0.0,0.42562544,19.843197,-7.310845,0.24422832,1.3066034
2.335082,450219.53,5.610478,941.16455,0.0,0.0,0.39589375,19.909931,-7.303675,0.24528429,1.3120509
2.331472,449802.0,5.6065216,906.2274,0.0,0.0,0.403018,19.85935,-7.326313,0.24451779,1.3101615
2.3133168,450230.88,5.607091,930.43994,0.0,0.0,0.40257123,19.8729,-7.352144,0.24315739,1.3126007
2.3171768,450341.6,5.6072927,934.418,0.0,0.0,0.41600487,19.862598,-7.3447785,0.2433151,1.3084059
2.328606,450166.22,5.6056423,945.93,0.0,0.0,0.4124857,19.864107,-7.3085623,0.24539262,1.3074267
2.332287,450109.78,5.6028533,930.8391,0.0,0.0,0.40882266,19.899557,-7.326933,0.24785595,1.2971039
2.332828,450016.72,5.598053,926.17346,0.0,0.0,0.43326253,19.705114,-7.3496466,0.24794327,1.2987449
2.322463,450032.1,5.595248,937.6782,0.0,0.0,0.4226579,19.751986,-7.3504877,0.24893388,1.3109337
2.3187249,450336.7,5.5954075,964.8684,0.0,0.0,0.41918427,19.848736,-7.330985,0.24983947,1.3142825
2.319797,450411.66,5.59373,918.4474,0.0,0.0,0.42825186,19.900885,-7.309402,0.24739058,1.3205774
2.3223224,450372.12,5.592054,923.0869,0.0,0.0,0.43179318,19.93275,-7.330723,0.24597909,1.3376645
2.3294704,450500.53,5.5881066,907.95306,0.0,0.0,0.45108545,19.900455,-7.279994,0.24602534,1.3347903
2.3319645,450441.2,5.582888,948.8087,0.0,0.0,0.44107452,19.910856,-7.2749004,0.24638292,1.3307207
2.3294,450445.53,5.581883,936.8316,0.0,0.0,0.4146137,19.881374,-7.297766,0.24496,1.3221109
2.3256977,450503.34,5.5798216,917.99005,0.0,0.0,0.43677196,19.958263,-7.274721,0.24430825,1.3092718
2.3183522,450274.44,5.5775166,901.07526,0.0,0.0,0.44722658,19.958279,-7.2764153,0.2436656,1.3078238
2.32184,450238.25,5.5752325,935.7446,0.0,0.0,0.43707606,19.848038,-7.2849083,0.2416363,1.3018589
2.3326907,450287.47,5.570124,937.6634,0.0,0.0,0.42937434,19.864786,-7.259725,0.24223484,1.2985462
2.339061,450342.62,5.567498,916.50824,0.0,0.0,0.43181896,19.868885,-7.267192,0.24204561,1.2992808
2.339642,450519.2,5.566068,896.47205,0.0,0.0,0.42790103,19.920094,-7.3018994,0.24125232,1.2946991
2.338306,450211.6,5.5620065,926.6929,0.0,0.0,0.426091,19.902546,-7.292354,0.24221659,1.2819337
2.3325627,449986.94,5.561995,943.0407,0.0,0.0,0.4406714,19.816376,-7.290025,0.2429175,1.2852769
2.3052633,450308.38,5.563026,923.6664,0.0,0.0,0.4669078,19.83857,-7.2912207,0.24126236,1.2925392
2.3108423,450190.47,5.562784,933.4447,0.0,0.0,0.47141474,19.930836,-7.299012,0.24115755,1.2835132
2.3280754,450144.03,5.566585,919.13586,0.0,0.0,0.47581393,19.890554,-7.245263,0.24175723,1.286212
2.333245,450276.5,5.571189,941.5192,0.0,0.0,0.48431844,19.903667,-7.288213,0.241002,1.29425
2.3319137,450168.28,5.571038,927.1217,0.0,0.0,0.48615754,19.875784,-7.2970023,0.23918773,1.2853633
2.3277328,450200.53,5.570906,924.79095,0.0,0.0,0.4888299,19.853964,-7.2784414,0.23960416,1.2760129
2.3241293,450498.9,5.5722218,925.80756,0.0,0.0,0.4830399,19.99946,-7.276263,0.24041577,1.2759721
2.323087,450441.66,5.5720024,930.46826,0.0,0.0,0.49448377,19.878836,-7.3040023,0.2415462,1.28179
2.3253312,450325.47,5.57342,928.1237,0.0,0.0,0.5175877,19.891867,-7.3039713,0.24033436,1.2878368
2.3296473,450481.75,5.572739,930.90295,0.0,0.0,0.5396819,19.886066,-7.2970176,0.23906107,1.2919731
2.3316696,450348.16,5.570114,926.372,0.0,0.0,0.534005,19.897245,-7.298497,0.24037886,1.2915477
2.3298805,450415.66,5.5747986,929.99304,0.0,0.0,0.50108,19.99323,-7.3190093,0.24317497,1.3017846
2.3251543,450679.38,5.5815816,934.5265,0.0,0.0,0.4893631,19.976934,-7.2944374,0.24283493,1.3056989
2.3190813,450416.16,5.5816994,934.7482,0.0,0.0,0.47483337,19.900984,-7.277639,0.24328959,1.291923
2.3223426,450138.66,5.5827312,911.3754,0.0,0.0,0.46241683,19.947561,-7.295799,0.2416779,1.296283
2.3326051,450348.72,5.5833917,921.1883,0.0,0.0,0.4624041,19.943401,-7.2829566,0.24024864,1.3030837
2.3380055,450207.7,5.5863147,932.2146,0.0,0.0,0.4471646,19.987747,-7.3010893,0.23869383,1.3043823
2.3383226,450413.12,5.588919,955.81946,0.0,0.0,0.43653733,19.947506,-7.2916303,0.23808405,1.3052462
2.3381245,450560.84,5.591268,900.883,0.0,0.0,0.39706984,19.946507,-7.2982974,0.23974587,1.3126705
2.3305511,450541.4,5.592579,930.4251,0.0,0.0,0.3690866,19.93969,-7.274285,0.23651071,1.3213532
2.3151958,450245.25,5.597458,929.14075,0.0,0.0,0.3365621,19.826664,-7.289336,0.23243368,1.338442
2.3194256,450182.56,5.6004324,938.9981,0.0,0.0,0.32846397,19.67028,-7.3178144,0.23422536,1.3413829
2.3291163,449953.28,5.598615,919.56104,0.0,0.0,0.30458838,19.576096,-7.281845,0.23668079,1.3331623
2.3318698,449993.1,5.598416,928.573,0.0,0.0,0.28861922,19.500767,-7.293159,0.2350097,1.3448492
2.3299363,450312.3,5.598075,910.38434,0.0,0.0,0.28798118,19.51029,-7.2835436,0.23266381,1.3460292
2.3259895,450298.8,5.600978,931.3794,0.0,0.0,0.27986604,19.49197,-7.287476,0.23262462,1.341391
2.3230088,450379.38,5.6029024,930.47815,0.0,0.0,0.27557373,19.500404,-7.2777977,0.23214233,1.3363272
2.321964,450197.12,5.603037,923.8322,0.0,0.0,0.2823941,19.480263,-7.2793555,0.23091559,1.3292216
2.3247304,450191.62,5.603002,947.9963,0.0,0.0,0.2747129,19.420004,-7.2590575,0.22924444,1.3341393
2.3302245,450203.6,5.6038833,939.9078,0.0,0.0,0.2861213,19.443586,-7.260286,0.22975078,1.3387629
2.3289208,450156.06,5.603942,953.02185,0.0,0.0,0.29530576,19.49756,-7.2596784,0.22867912,1.3365234
2.327519,449979.3,5.602715,927.2021,0.0,0.0,0.27773717,19.446587,-7.293814,0.22830813,1.3229253
2.3229547,449855.34,5.6003056,910.88635,0.0,0.0,0.29808503,19.329153,-7.287183,0.22761777,1.3239462
2.3237782,449798.9,5.6005263,938.09015,0.0,0.0,0.3142193,19.354582,-7.243988,0.22706996,1.3285545
2.326067,449872.53,5.602214,958.56354,0.0,0.0,0.3222743,19.3984,-7.2244744,0.22789426,1.319619
2.3329036,449883.53,5.6023054,910.04254,0.0,0.0,0.3521695,19.36668,-7.2392645,0.22686787,1.3074352
2.3379662,449827.1,5.6033335,912.5697,0.0,0.0,0.36177936,19.375828,-7.215127,0.22543103,1.3019252
2.3370526,449807.84,5.6014886,928.31555,0.0,0.0,0.35939988,19.431011,-7.266024,0.22648923,1.2897897
2.3359284,449677.62,5.5938334,917.025,0.0,0.0,0.37649778,19.409042,-7.2525845,0.22708309,1.2943116
2.3315172,449628.97,5.5888467,927.7896,0.0,0.0,0.38624215,19.345808,-7.2411723,0.22620863,1.3003025
2.3312905,449806.1,5.5830784,907.33997,0.0,0.0,0.39149,19.496426,-7.2415066,0.22728182,1.3029212
2.3304522,449818.0,5.572393,926.5849,0.0,0.0,0.43748507,19.515825,-7.2262616,0.22530313,1.3007492
2.3297474,449798.25,5.566124,926.58777,0.0,0.0,0.4784343,19.522379,-7.1959596,0.22477937,1.3102709
2.3310692,449975.53,5.563231,898.6699,0.0,0.0,0.5014778,19.566582,-7.2179823,0.22375432,1.3083502
2.331106,450080.4,5.559569,918.14594,0.0,0.0,0.5191063,19.487383,-7.2030854,0.22198924,1.3101304
2.3264618,450127.25,5.557229,911.026,0.0,0.0,0.5272184,19.532993,-7.1799054,0.2209367,1.3071142
2.3133879,450146.4,5.5577984,935.18555,0.0,0.0,0.54248106,19.536093,-7.2127333,0.21949933,1.3110774
2.316026,449959.9,5.5537333,913.0482,0.0,0.0,0.56091946,19.56812,-7.206227,0.21817599,1.3047057
2.324808,449640.4,5.549545,913.12213,0.0,0.0,0.6020273,19.570889,-7.1807094,0.21447018,1.2958077
2.3305397,449786.97,5.5501046,918.0679,0.0,0.0,0.6324308,19.629635,-7.173639,0.21246938,1.2896523
2.330121,449827.34,5.5535994,936.2907,0.0,0.0,0.6383291,19.77178,-7.11942,0.2111749,1.2876965
2.3282301,449723.62,5.559533,921.1059,0.18117228,133.39688,0.6294375,19.89266,-7.152654,0.20985532,1.2860448
2.3225765,449545.56,5.5642514,926.608,0.0,0.0,0.6435872,19.966822,-7.161333,0.20960863,1.285235
2.3240223,449263.78,5.567675,916.1261,0.0,0.0,0.63751507,20.00006,-7.152785,0.20974162,1.2793018
2.3241906,449140.25,5.5685897,912.90356,0.0,0.0,0.62654537,20.004591,-7.128122,0.20676824,1.272986
2.3294938,448981.16,5.568893,937.189,0.0,0.0,0.6571509,20.137787,-7.1384387,0.20825619,1.2740747
2.336458,448961.1,5.568843,931.9319,0.0,0.0,0.6799954,20.16135,-7.144481,0.2049769,1.2667655
2.3374758,448896.12,5.569248,902.5997,0.0,0.0,0.693,20.065184,-7.1259327,0.20582421,1.2800081
2.3374853,448867.3,5.566792,932.7577,0.0,0.0,0.7019846,20.161009,-7.1264453,0.20748264,1.2809675
2.3276687,448708.38,5.5695224,928.5817,0.0,0.0,0.71456724,20.247345,-7.107467,0.20623413,1.2839476
2.3262463,448884.97,5.573401,941.9815,0.0,0.0,0.7415765,20.268356,-7.098665,0.20316918,1.2920842
2.3283122,448718.25,5.574232,920.1753,0.0,0.0,0.7503354,20.133183,-7.0960126,0.20212416,1.293917
