time_index,time_s,prob_disrupt,streak,pred_disruptive,triggered,trigger_index,trigger_time_s
81,0.081,0.3969273567199707,0,0,0,1983,1.983
82,0.082,0.39704567193984985,0,0,0,1983,1.983
83,0.083,0.3973405063152313,0,0,0,1983,1.983
84,0.084,0.3977525532245636,0,0,0,1983,1.983
85,0.085,0.3982817530632019,0,0,0,1983,1.983
86,0.08600000000000001,0.3987816572189331,0,0,0,1983,1.983
87,0.08700000000000001,0.399076908826828,0,0,0,1983,1.983
88,0.088,0.3991142213344574,0,0,0,1983,1.983
89,0.089,0.3989221453666687,0,0,0,1983,1.983
90,0.09,0.39872780442237854,0,0,0,1983,1.983
91,0.091,0.39854758977890015,0,0,0,1983,1.983
92,0.092,0.3983745574951172,0,0,0,1983,1.983
93,0.093,0.39808160066604614,0,0,0,1983,1.983
94,0.094,0.39781635999679565,0,0,0,1983,1.983
95,0.095,0.3975788950920105,0,0,0,1983,1.983
96,0.096,0.3973049223423004,0,0,0,1983,1.983
97,0.097,0.3972698152065277,0,0,0,1983,1.983
98,0.098,0.3974437713623047,0,0,0,1983,1.983
99,0.099,0.39779284596443176,0,0,0,1983,1.983
100,0.1,0.3981846868991852,0,0,0,1983,1.983
101,0.101,0.3983997404575348,0,0,0,1983,1.983
102,0.10200000000000001,0.39858612418174744,0,0,0,1983,1.983
103,0.10300000000000001,0.3986835181713104,0,0,0,1983,1.983
104,0.10400000000000001,0.398742139339447,0,0,0,1983,1.983
105,0.105,0.39878809452056885,0,0,0,1983,1.983
106,0.106,0.39891165494918823,0,0,0,1983,1.983
107,0.107,0.3990780711174011,0,0,0,1983,1.983
108,0.108,0.3989144563674927,0,0,0,1983,1.983
109,0.109,0.3984519839286804,0,0,0,1983,1.983
