Bt,ip,ne_nG,n=1 amplitude,Mir_avg_amp,Mir_avg_fre,v_loop,dx_a,dy_a,sxr_mean,xuv_ratio
2.3148894,447043.84,5.6239805,865.927,0.0,0.0,0.6067665,18.301,-10.897273,0.16469426,1.1875256
2.3184168,447326.03,5.618823,857.384,0.0,0.0,0.6308686,18.403461,-10.854309,0.16504052,1.2214024
2.3277376,447607.0,5.6154857,903.50696,0.0,0.0,0.65154266,18.350601,-10.866654,0.16928977,1.2012051
2.3299446,447550.56,5.6110816,872.8321,0.0,0.0,0.6492798,18.408394,-10.845913,0.1719935,1.2033232
2.3312452,447492.7,5.6102266,861.1056,0.0,0.0,0.61365545,18.47431,-10.80466,0.17300156,1.221673
2.3317845,447073.0,5.6040006,824.92737,0.0,0.0,0.60031104,18.391863,-10.868185,0.17164597,1.1975875
2.3227153,447521.47,5.6021795,866.3002,0.0,0.0,0.6075535,18.41324,-10.83547,0.17128876,1.1995244
2.320972,447269.66,5.6011505,864.9857,0.0,0.0,0.59554195,18.408836,-10.810787,0.17384917,1.2230523
2.3354602,447493.03,5.605164,873.5791,0.0,0.0,0.5598541,18.269402,-10.802979,0.17196853,1.245191
2.3409822,447212.9,5.60087,838.1047,0.0,0.0,0.5294949,18.368322,-10.809461,0.17337134,1.2425455
2.3402495,447354.56,5.5941854,860.7859,0.0,0.0,0.53237987,18.35086,-10.821324,0.17414905,1.25324
2.3332865,447606.28,5.5986376,876.66046,0.0,0.0,0.5025474,18.385569,-10.789386,0.1768383,1.2653455
2.331118,447439.44,5.6018567,863.07745,0.0,0.0,0.48796275,18.483889,-10.852482,0.17040302,1.2518666
2.3293302,447720.84,5.601906,850.57446,0.0,0.0,0.48551056,18.324816,-10.844686,0.17450881,1.2826104
2.328664,447861.28,5.605184,857.4573,0.0,0.0,0.48118925,18.214836,-10.799539,0.17677829,1.2537802
2.3304522,447887.28,5.615306,855.19885,0.0,0.0,0.46869674,18.222721,-10.852904,0.17334595,1.2813728
2.3344934,447552.34,5.617929,864.1023,0.0,0.0,0.4594548,18.142757,-10.875319,0.17587632,1.2996107
2.333126,447803.6,5.6191683,873.61633,0.0,0.0,0.38805676,18.289629,-10.865401,0.17482224,1.2973074
2.3303258,447636.9,5.622133,849.998,0.0,0.0,0.36828288,18.077003,-10.862382,0.17669082,1.2977564
2.3194392,447861.3,5.627971,880.96344,0.0,0.0,0.35853195,18.192617,-10.855814,0.17717062,1.3477277
2.322305,447887.75,5.63324,868.15845,0.0,0.0,0.3512467,18.219315,-10.869512,0.17481789,1.3295873
2.3260872,447665.25,5.63692,889.5767,0.0,0.0,0.3497249,18.101768,-10.856724,0.17985745,1.3436358
2.3293931,447888.7,5.645945,829.2817,0.0,0.0,0.3485115,18.122383,-10.9151745,0.17828962,1.3258933
2.3287373,447803.62,5.652068,867.5623,0.0,0.0,0.30738777,18.090265,-10.882642,0.17858435,1.3164412
2.328844,447663.4,5.6648173,872.49554,0.0,0.0,0.31692863,18.165041,-10.857604,0.17753948,1.3264104
2.3290167,447634.28,5.6853085,871.4636,0.0,0.0,0.2587611,18.127949,-10.8967285,0.18247153,1.341507
2.3241117,447495.72,5.6977835,858.279,0.0,0.0,0.29380864,18.137194,-10.817991,0.18532997,1.3179626
2.324165,447662.47,5.7031302,876.81573,0.0,0.0,0.32174832,18.075222,-10.846613,0.18706271,1.3129289
2.332041,447523.75,5.70697,868.4526,0.0,0.0,0.29615262,18.067928,-10.847984,0.18476276,1.3299674
2.338085,447662.66,5.715748,882.9832,0.0,0.0,0.2756096,18.101921,-10.873314,0.18608768,1.3371457
2.3363576,447553.28,5.717791,882.20355,0.0,0.0,0.24458373,17.98074,-10.876608,0.18765152,1.3486855
2.3364575,447834.44,5.725792,840.63116,0.0,0.0,0.2257309,17.869656,-10.877043,0.18720853,1.3680018
2.3258064,448000.62,5.7433133,871.48566,0.0,0.0,0.21504343,18.076876,-10.878759,0.18587549,1.3580021
2.3200076,447836.1,5.753621,890.8613,0.0,0.0,0.23655714,17.928467,-10.89534,0.18641683,1.3791502
2.3269506,448171.47,5.757299,856.7818,0.0,0.0,0.2412594,17.90743,-10.876757,0.18745929,1.3723031
2.3319747,448170.66,5.763142,859.14026,0.0,0.0,0.22726642,17.8226,-10.9089775,0.18726045,1.3790191
2.3321507,448085.7,5.7744102,879.5768,0.0,0.0,0.21793602,17.904987,-10.917436,0.18659854,1.3902091
2.330778,447975.4,5.7785077,892.2815,0.0,0.0,0.19146132,17.98386,-10.947627,0.1863451,1.38434
2.328279,448112.7,5.784934,867.8411,0.0,0.0,0.1727979,17.86665,-10.955438,0.18665622,1.3747246
2.3189707,447892.88,5.78955,859.5305,0.0,0.0,0.15015613,18.072279,-10.915567,0.18925433,1.4183395
2.309728,448225.75,5.7932444,872.4443,0.0,0.0,0.15109146,18.039,-10.971346,0.18743747,1.3807576
2.321041,448028.56,5.7966566,894.1901,0.0,0.0,0.15321271,17.837963,-11.015812,0.18780057,1.393877
2.3284514,447860.5,5.799342,865.68506,0.0,0.0,0.099148266,17.966194,-10.986142,0.18677387,1.3661133
2.3298438,447807.56,5.7993665,846.621,0.0,0.0,0.09625435,17.964876,-10.994992,0.19225627,1.3930392
2.3295443,448053.1,5.803183,871.79425,0.0,0.0,0.107284755,18.078228,-10.966898,0.19033471,1.3436384
2.3270135,447581.94,5.8089113,853.34827,0.0,0.0,0.12181851,18.00379,-10.993933,0.19803905,1.3712308
2.3222451,447827.56,5.8220167,852.188,0.0,0.0,0.12645125,18.073532,-10.936262,0.19409823,1.3840624
2.3253334,447383.88,5.8293977,869.4454,0.0,0.0,0.13589844,18.061901,-10.960016,0.20309278,1.377209
2.3329577,447579.3,5.830823,838.88043,0.0,0.0,0.16850479,18.049332,-10.926574,0.20109424,1.3664027
2.3377013,447605.44,5.8344507,850.5867,0.0,0.0,0.1477316,18.133444,-10.967272,0.20423417,1.352544
2.3377817,447472.53,5.8361235,863.1439,0.0,0.0,0.14966057,18.138052,-10.974313,0.2040503,1.3496324
2.3368192,447971.1,5.8389797,862.69275,0.0,0.0,0.13590005,18.109596,-10.901819,0.20464805,1.37815
2.3331199,447751.2,5.842223,851.33014,0.0,0.0,0.16733907,18.257433,-10.902416,0.20288686,1.4047486
2.3224545,447972.12,5.8479323,844.3139,0.0,0.0,0.19826381,18.116663,-10.882088,0.20503066,1.4049321
2.326538,447834.4,5.8511095,869.2894,0.0,0.0,0.19096307,18.17299,-10.895009,0.20496584,1.3924441
2.3315513,447943.06,5.8540897,870.48,0.0,0.0,0.20794041,18.239735,-10.866425,0.20688975,1.3843539
2.334951,447752.5,5.8529134,837.5044,0.0,0.0,0.21619785,18.224226,-10.847334,0.20482673,1.3937541
2.333792,448062.53,5.8497863,854.6253,0.0,0.0,0.20433313,18.391268,-10.850623,0.20673935,1.3889569
2.3112435,448336.78,5.850973,863.714,0.0,0.0,0.23834275,18.313765,-10.882031,0.20972133,1.3756227
2.3148603,448059.4,5.8429894,880.7318,0.0,0.0,0.25994015,18.288898,-10.914819,0.20586666,1.3823152
2.3208876,448119.53,5.8309617,836.6657,0.0,0.0,0.27688235,18.451977,-10.92189,0.20351925,1.3936523
2.3249803,448420.8,5.8308415,838.061,0.0,0.0,0.32372138,18.405388,-10.909814,0.20577338,1.3946586
2.3305793,448117.12,5.830924,853.30005,0.0,0.0,0.27829626,18.47779,-10.925664,0.21208824,1.3846738
2.3337946,448256.53,5.8305907,876.35724,0.0,0.0,0.29721153,18.569384,-10.904472,0.21150775,1.3986437
2.3324628,448277.88,5.8349476,867.9611,0.0,0.0,0.31506062,18.57888,-10.912479,0.21228006,1.3652458
2.3246162,447861.12,5.8369946,822.66797,0.0,0.0,0.30350077,18.57058,-10.967748,0.21278203,1.3782527
2.3220103,447864.22,5.8409758,857.8178,0.0,0.0,0.3329849,18.692648,-10.907585,0.21517581,1.3752208
2.3249867,448055.47,5.8471804,871.9944,0.0,0.0,0.33560514,18.636375,-10.899327,0.21517962,1.3523024
2.3329113,447865.2,5.846299,852.6144,0.0,0.0,0.34880397,18.712585,-10.919008,0.21888608,1.3541559
2.3349938,448112.28,5.8468504,853.6962,0.0,0.0,0.32941794,18.88425,-10.918592,0.22299282,1.3461207
2.3368323,447945.28,5.848348,852.87317,0.0,0.0,0.33725977,18.68617,-10.893653,0.2264175,1.3448584
2.336146,447923.6,5.847242,875.5081,0.0,0.0,0.32172891,18.752432,-10.8878975,0.22280505,1.3696219
2.3274312,448289.03,5.8446245,870.6972,0.0,0.0,0.34464693,18.797377,-10.850079,0.22219308,1.3744576
